,Number of Stars,Full Review,title
19,5,"Delivery was super fast
(Ordered yesterday got it today by 12:30pm)
Now about the watch it is all comfortable with the strap and dont expect any big boxes to shoot some unboxing videos box contains charging cable some papers about watch and boAt watch has many features today is the first day of my usage I'll update it in 1 week I'm still confused how to change dials.
If someone can help me with the dial faces pls respond.

Edit:- Face dials are gonna be available once the update is there (o...",boAt Storm Smartwatch Reviews
20,4,Very nice product this watch is amazing I'm very happy to buy this smart watch,
21,4,"If there was an award for the worst smartwatch in the market, this wouldn't have won it, because this dumb thing is not qualified to be called a smartwatch. The BoatPro app is the worst thing I have seen in a long time (the ratings on PlayStore say it all). It looks like an internship project where the intern just left halfway. The watch and the app won't sync, huge battery drain, randomly resets the progress, won't save the data, no notification alert, and the list goes on.

ALWAYS BUY A SMA...",
22,5,"Go for it.
I don't believe in any reviews untill I use it any gadgets.
You can consider accuracy level in btw 85 to 95 perc.

My positive Result of Day 1 uses.

SLEEP MODE. GOOD
BLOOD PRESSURE. NORMAL

DIAL INTERFACE. EVERY TIME YOU NEED TO EITHER DOWNLOAD A PHOTO OR SELECT FROM YOUR OWN PHONE GALLARY .

MUSIC CONTROL CONTROL YOUR DEFAULT MUSIC PLAYER, VOL UP AND DOWN . AND PAUSE AND PLAY.

Incorrect accuracy in waking activitie - automatically update walki...",
23,5,"After use for one month I write this review, battery backup is gud, I have made update and custom wallpaper is superb, call notification is superb, msgs receive properly, but blue strap is not Luking cool as black one .....other features are gud and works well......one thing more Alwyz on display feature is needed but not available in storm",
24,3,Excellent product very nice watch better than realme and huami . Activity tracker is very nice give an good idea of activity. It have music control too. Worth of money. Recommended product 😍😍👌👌👍❤❤,
25,5,"It was a great smart watch, with amazing activity trackers,and I like the sleep calculator",
26,3,"In terms of looks it is pretty neat in this price range and features as well for different modes like walk, Run, Yoga etc.
The app interface is straight to point.
I primarily use it for calories counter and sleep tracker.
It also has BP and Oxegen monitor as well which can be handily not for accurate use.

For 2.5k it is ok but don't spend much on these watches if you are looking for some serious lifestyle. Just use it for casual fitness tracker for basics.

Overall its a good device in this ...",
27,5,Best smart watch battery excellent very comfortable I using last @ 45 days after only I post this review I buy 2 for me and my wife it's looking very smart and cute ... I recommend for all its budget smartwatch worth of money ....,
28,4,"Been using this Watch since it's launch. 30th Oct 2020. The product seems good initially, but fails to impress after long time use.

Pros:
1. The watch is lightweight & has slightly premium look.
2. The battery life is good, It lasts more than a week if you don't record any activity & a week if any activities are recorded. (Auto heart rate monitor on & with wake up gesture on)
3. The apps gives good amount of the info about the daily exercise, sleep, and heart rate.
4. The OS is simple.

Con...",
29,5,Its been 1 week using it it works greal i loved it all the sensor works perfect spo2 and bp monitor is best the desing the quality i loved it . Loved the custom face option,
30,4,"Writing this review after 2 weeks.
PROS:-less weight
High brightness
User friendly
Good speed
Notification is stylish and very useful
Good in look when screen off😬
Battery life is good
Water resistance works well
Screen quality is very good.. even i thought its gorilla glass
You can add any photo as wallpaper
CONS:
Screen size is disappointing
App is very bad..new update is not working well..please make better app developers. When changing to external wallpaper, time and date become little...",
31,4,"Wooww🖤Grt watch
awesome 💌💌
🖤I loved it super fabulous🖤
Best of the brand like boat 💯",
32,5,"Ya its a cool watch and I liked the built quality , and water resistant , itts looking cool and its working accurate ly .
Cons....
1. App clearance
2. Notification vibration. Exapt this all are nice features in this watch",
33,5,"Boat smart watch nice and decent product in this price range. The functionality is amazing and display quality is also good, the battery life is not so good compare to other smart watches this is the main drawback, the battery life comes for 5-6 days for 1 full charge. Belt quality good and smooth. ❤️ Rate sensor gives nearly accurate BPM and other good thing is oxygen sensor is good but I don't know how much accurate this, BP monitoring also there quite a good feature, music control is good...",
34,5,"Good watch...👍
Use after 10 day .and one time charge. Battery backup so nice upto 9-10 day...my boat watch received 10 days..after
Use boat strom watch quality GOOD nice and metal body casing so good wach belt quality.cloued based watch 38 face.and later OTA UPDATE. version 7 update but boat storm v7 personalize face watch not avaliable in pro gear app
Please. So next update add features in pro gear and all of good nice watch in price range",
35,4,Watch is amazing. Looks so good & battery is good last for 4 to 5 days. Great deal..Thank you Flipkart💖😊👏,
36,5,"Writing this review after 4 days

Display is very nice
Battery backup is very good
After app update more watch faces are available
Notification vibration are in it
Design is very stylish
Scroling smoothness also nice
accuracy is good
Apps notification are good
At this price the boat storm smart watch is very nice",
37,4,"It was a Xmas gift for my fiance. And she loved it. Good Battery Back Up, premium rich feel, activities and features. 5 star product.... Boat Rocks!!",
38,5,"Design and aesthetic : The storm looks like a premium watch and also the black aesthetic goes well with formal or casual dresses (Traditional/Ethnic dresses are a bit of hit or miss)

Build and Durability : The body feels rigid and durable but still it would hurt to add on a screen protector to prevent any scratches on the glass

Functionality : Simple UI and simple controls but does the job pretty well. Measures SpO2, Heart Rate, Blood pressure in addition to the usual steps and distance cal...",
39,4,"Delivery was super fast
(Ordered yesterday got it today by 12:30pm)
Now about the watch it is all comfortable with the strap and dont expect any big boxes to shoot some unboxing videos box contains charging cable some papers about watch and boAt watch has many features today is the first day of my usage I'll update it in 1 week I'm still confused how to change dials.
If someone can help me with the dial faces pls respond.

Edit:- Face dials are gonna be available once the update is there (o...",
40,4,Very nice product this watch is amazing I'm very happy to buy this smart watch,
41,5,"If there was an award for the worst smartwatch in the market, this wouldn't have won it, because this dumb thing is not qualified to be called a smartwatch. The BoatPro app is the worst thing I have seen in a long time (the ratings on PlayStore say it all). It looks like an internship project where the intern just left halfway. The watch and the app won't sync, huge battery drain, randomly resets the progress, won't save the data, no notification alert, and the list goes on.

ALWAYS BUY A SMA...",
42,5,"Go for it.
I don't believe in any reviews untill I use it any gadgets.
You can consider accuracy level in btw 85 to 95 perc.

My positive Result of Day 1 uses.

SLEEP MODE. GOOD
BLOOD PRESSURE. NORMAL

DIAL INTERFACE. EVERY TIME YOU NEED TO EITHER DOWNLOAD A PHOTO OR SELECT FROM YOUR OWN PHONE GALLARY .

MUSIC CONTROL CONTROL YOUR DEFAULT MUSIC PLAYER, VOL UP AND DOWN . AND PAUSE AND PLAY.

Incorrect accuracy in waking activitie - automatically update walki...",
43,3,"After use for one month I write this review, battery backup is gud, I have made update and custom wallpaper is superb, call notification is superb, msgs receive properly, but blue strap is not Luking cool as black one .....other features are gud and works well......one thing more Alwyz on display feature is needed but not available in storm",
44,5,Excellent product very nice watch better than realme and huami . Activity tracker is very nice give an good idea of activity. It have music control too. Worth of money. Recommended product 😍😍👌👌👍❤❤,
45,3,"It was a great smart watch, with amazing activity trackers,and I like the sleep calculator",
46,5,"In terms of looks it is pretty neat in this price range and features as well for different modes like walk, Run, Yoga etc.
The app interface is straight to point.
I primarily use it for calories counter and sleep tracker.
It also has BP and Oxegen monitor as well which can be handily not for accurate use.

For 2.5k it is ok but don't spend much on these watches if you are looking for some serious lifestyle. Just use it for casual fitness tracker for basics.

Overall its a good device in this ...",
47,4,Best smart watch battery excellent very comfortable I using last @ 45 days after only I post this review I buy 2 for me and my wife it's looking very smart and cute ... I recommend for all its budget smartwatch worth of money ....,
48,5,"Been using this Watch since it's launch. 30th Oct 2020. The product seems good initially, but fails to impress after long time use.

Pros:
1. The watch is lightweight & has slightly premium look.
2. The battery life is good, It lasts more than a week if you don't record any activity & a week if any activities are recorded. (Auto heart rate monitor on & with wake up gesture on)
3. The apps gives good amount of the info about the daily exercise, sleep, and heart rate.
4. The OS is simple.

Con...",
49,4,Its been 1 week using it it works greal i loved it all the sensor works perfect spo2 and bp monitor is best the desing the quality i loved it . Loved the custom face option,
50,4,"Writing this review after 2 weeks.
PROS:-less weight
High brightness
User friendly
Good speed
Notification is stylish and very useful
Good in look when screen off😬
Battery life is good
Water resistance works well
Screen quality is very good.. even i thought its gorilla glass
You can add any photo as wallpaper
CONS:
Screen size is disappointing
App is very bad..new update is not working well..please make better app developers. When changing to external wallpaper, time and date become little...",
51,5,"Wooww🖤Grt watch
awesome 💌💌
🖤I loved it super fabulous🖤
Best of the brand like boat 💯",
52,5,"Ya its a cool watch and I liked the built quality , and water resistant , itts looking cool and its working accurate ly .
Cons....
1. App clearance
2. Notification vibration. Exapt this all are nice features in this watch",
53,5,"Boat smart watch nice and decent product in this price range. The functionality is amazing and display quality is also good, the battery life is not so good compare to other smart watches this is the main drawback, the battery life comes for 5-6 days for 1 full charge. Belt quality good and smooth. ❤️ Rate sensor gives nearly accurate BPM and other good thing is oxygen sensor is good but I don't know how much accurate this, BP monitoring also there quite a good feature, music control is good...",
54,4,"Good watch...👍
Use after 10 day .and one time charge. Battery backup so nice upto 9-10 day...my boat watch received 10 days..after
Use boat strom watch quality GOOD nice and metal body casing so good wach belt quality.cloued based watch 38 face.and later OTA UPDATE. version 7 update but boat storm v7 personalize face watch not avaliable in pro gear app
Please. So next update add features in pro gear and all of good nice watch in price range",
55,5,Watch is amazing. Looks so good & battery is good last for 4 to 5 days. Great deal..Thank you Flipkart💖😊👏,
56,4,"Writing this review after 4 days

Display is very nice
Battery backup is very good
After app update more watch faces are available
Notification vibration are in it
Design is very stylish
Scroling smoothness also nice
accuracy is good
Apps notification are good
At this price the boat storm smart watch is very nice",
57,5,"It was a Xmas gift for my fiance. And she loved it. Good Battery Back Up, premium rich feel, activities and features. 5 star product.... Boat Rocks!!",
58,4,"Design and aesthetic : The storm looks like a premium watch and also the black aesthetic goes well with formal or casual dresses (Traditional/Ethnic dresses are a bit of hit or miss)

Build and Durability : The body feels rigid and durable but still it would hurt to add on a screen protector to prevent any scratches on the glass

Functionality : Simple UI and simple controls but does the job pretty well. Measures SpO2, Heart Rate, Blood pressure in addition to the usual steps and distance cal...",
59,4,"Delivery was super fast
(Ordered yesterday got it today by 12:30pm)
Now about the watch it is all comfortable with the strap and dont expect any big boxes to shoot some unboxing videos box contains charging cable some papers about watch and boAt watch has many features today is the first day of my usage I'll update it in 1 week I'm still confused how to change dials.
If someone can help me with the dial faces pls respond.

Edit:- Face dials are gonna be available once the update is there (o...",
60,5,Very nice product this watch is amazing I'm very happy to buy this smart watch,
61,5,"If there was an award for the worst smartwatch in the market, this wouldn't have won it, because this dumb thing is not qualified to be called a smartwatch. The BoatPro app is the worst thing I have seen in a long time (the ratings on PlayStore say it all). It looks like an internship project where the intern just left halfway. The watch and the app won't sync, huge battery drain, randomly resets the progress, won't save the data, no notification alert, and the list goes on.

ALWAYS BUY A SMA...",
62,3,"Go for it.
I don't believe in any reviews untill I use it any gadgets.
You can consider accuracy level in btw 85 to 95 perc.

My positive Result of Day 1 uses.

SLEEP MODE. GOOD
BLOOD PRESSURE. NORMAL

DIAL INTERFACE. EVERY TIME YOU NEED TO EITHER DOWNLOAD A PHOTO OR SELECT FROM YOUR OWN PHONE GALLARY .

MUSIC CONTROL CONTROL YOUR DEFAULT MUSIC PLAYER, VOL UP AND DOWN . AND PAUSE AND PLAY.

Incorrect accuracy in waking activitie - automatically update walki...",
63,5,"After use for one month I write this review, battery backup is gud, I have made update and custom wallpaper is superb, call notification is superb, msgs receive properly, but blue strap is not Luking cool as black one .....other features are gud and works well......one thing more Alwyz on display feature is needed but not available in storm",
64,3,Excellent product very nice watch better than realme and huami . Activity tracker is very nice give an good idea of activity. It have music control too. Worth of money. Recommended product 😍😍👌👌👍❤❤,
65,5,"It was a great smart watch, with amazing activity trackers,and I like the sleep calculator",
66,4,"In terms of looks it is pretty neat in this price range and features as well for different modes like walk, Run, Yoga etc.
The app interface is straight to point.
I primarily use it for calories counter and sleep tracker.
It also has BP and Oxegen monitor as well which can be handily not for accurate use.

For 2.5k it is ok but don't spend much on these watches if you are looking for some serious lifestyle. Just use it for casual fitness tracker for basics.

Overall its a good device in this ...",
67,5,Best smart watch battery excellent very comfortable I using last @ 45 days after only I post this review I buy 2 for me and my wife it's looking very smart and cute ... I recommend for all its budget smartwatch worth of money ....,
68,4,"Been using this Watch since it's launch. 30th Oct 2020. The product seems good initially, but fails to impress after long time use.

Pros:
1. The watch is lightweight & has slightly premium look.
2. The battery life is good, It lasts more than a week if you don't record any activity & a week if any activities are recorded. (Auto heart rate monitor on & with wake up gesture on)
3. The apps gives good amount of the info about the daily exercise, sleep, and heart rate.
4. The OS is simple.

Con...",
69,4,Its been 1 week using it it works greal i loved it all the sensor works perfect spo2 and bp monitor is best the desing the quality i loved it . Loved the custom face option,
70,5,"Writing this review after 2 weeks.
PROS:-less weight
High brightness
User friendly
Good speed
Notification is stylish and very useful
Good in look when screen off😬
Battery life is good
Water resistance works well
Screen quality is very good.. even i thought its gorilla glass
You can add any photo as wallpaper
CONS:
Screen size is disappointing
App is very bad..new update is not working well..please make better app developers. When changing to external wallpaper, time and date become little...",
71,5,"Wooww🖤Grt watch
awesome 💌💌
🖤I loved it super fabulous🖤
Best of the brand like boat 💯",
72,5,"Ya its a cool watch and I liked the built quality , and water resistant , itts looking cool and its working accurate ly .
Cons....
1. App clearance
2. Notification vibration. Exapt this all are nice features in this watch",
73,4,"Boat smart watch nice and decent product in this price range. The functionality is amazing and display quality is also good, the battery life is not so good compare to other smart watches this is the main drawback, the battery life comes for 5-6 days for 1 full charge. Belt quality good and smooth. ❤️ Rate sensor gives nearly accurate BPM and other good thing is oxygen sensor is good but I don't know how much accurate this, BP monitoring also there quite a good feature, music control is good...",
74,5,"Good watch...👍
Use after 10 day .and one time charge. Battery backup so nice upto 9-10 day...my boat watch received 10 days..after
Use boat strom watch quality GOOD nice and metal body casing so good wach belt quality.cloued based watch 38 face.and later OTA UPDATE. version 7 update but boat storm v7 personalize face watch not avaliable in pro gear app
Please. So next update add features in pro gear and all of good nice watch in price range",
75,4,Watch is amazing. Looks so good & battery is good last for 4 to 5 days. Great deal..Thank you Flipkart💖😊👏,
76,5,"Writing this review after 4 days

Display is very nice
Battery backup is very good
After app update more watch faces are available
Notification vibration are in it
Design is very stylish
Scroling smoothness also nice
accuracy is good
Apps notification are good
At this price the boat storm smart watch is very nice",
77,4,"It was a Xmas gift for my fiance. And she loved it. Good Battery Back Up, premium rich feel, activities and features. 5 star product.... Boat Rocks!!",
78,4,"Design and aesthetic : The storm looks like a premium watch and also the black aesthetic goes well with formal or casual dresses (Traditional/Ethnic dresses are a bit of hit or miss)

Build and Durability : The body feels rigid and durable but still it would hurt to add on a screen protector to prevent any scratches on the glass

Functionality : Simple UI and simple controls but does the job pretty well. Measures SpO2, Heart Rate, Blood pressure in addition to the usual steps and distance cal...",
79,5,"Delivery was super fast
(Ordered yesterday got it today by 12:30pm)
Now about the watch it is all comfortable with the strap and dont expect any big boxes to shoot some unboxing videos box contains charging cable some papers about watch and boAt watch has many features today is the first day of my usage I'll update it in 1 week I'm still confused how to change dials.
If someone can help me with the dial faces pls respond.

Edit:- Face dials are gonna be available once the update is there (o...",
80,5,Very nice product this watch is amazing I'm very happy to buy this smart watch,
81,3,"If there was an award for the worst smartwatch in the market, this wouldn't have won it, because this dumb thing is not qualified to be called a smartwatch. The BoatPro app is the worst thing I have seen in a long time (the ratings on PlayStore say it all). It looks like an internship project where the intern just left halfway. The watch and the app won't sync, huge battery drain, randomly resets the progress, won't save the data, no notification alert, and the list goes on.

ALWAYS BUY A SMA...",
82,5,"Go for it.
I don't believe in any reviews untill I use it any gadgets.
You can consider accuracy level in btw 85 to 95 perc.

My positive Result of Day 1 uses.

SLEEP MODE. GOOD
BLOOD PRESSURE. NORMAL

DIAL INTERFACE. EVERY TIME YOU NEED TO EITHER DOWNLOAD A PHOTO OR SELECT FROM YOUR OWN PHONE GALLARY .

MUSIC CONTROL CONTROL YOUR DEFAULT MUSIC PLAYER, VOL UP AND DOWN . AND PAUSE AND PLAY.

Incorrect accuracy in waking activitie - automatically update walki...",
83,3,"After use for one month I write this review, battery backup is gud, I have made update and custom wallpaper is superb, call notification is superb, msgs receive properly, but blue strap is not Luking cool as black one .....other features are gud and works well......one thing more Alwyz on display feature is needed but not available in storm",
84,5,Excellent product very nice watch better than realme and huami . Activity tracker is very nice give an good idea of activity. It have music control too. Worth of money. Recommended product 😍😍👌👌👍❤❤,
85,4,"It was a great smart watch, with amazing activity trackers,and I like the sleep calculator",
86,5,"In terms of looks it is pretty neat in this price range and features as well for different modes like walk, Run, Yoga etc.
The app interface is straight to point.
I primarily use it for calories counter and sleep tracker.
It also has BP and Oxegen monitor as well which can be handily not for accurate use.

For 2.5k it is ok but don't spend much on these watches if you are looking for some serious lifestyle. Just use it for casual fitness tracker for basics.

Overall its a good device in this ...",
87,4,Best smart watch battery excellent very comfortable I using last @ 45 days after only I post this review I buy 2 for me and my wife it's looking very smart and cute ... I recommend for all its budget smartwatch worth of money ....,
88,4,"Been using this Watch since it's launch. 30th Oct 2020. The product seems good initially, but fails to impress after long time use.

Pros:
1. The watch is lightweight & has slightly premium look.
2. The battery life is good, It lasts more than a week if you don't record any activity & a week if any activities are recorded. (Auto heart rate monitor on & with wake up gesture on)
3. The apps gives good amount of the info about the daily exercise, sleep, and heart rate.
4. The OS is simple.

Con...",
89,5,Its been 1 week using it it works greal i loved it all the sensor works perfect spo2 and bp monitor is best the desing the quality i loved it . Loved the custom face option,
90,5,"Writing this review after 2 weeks.
PROS:-less weight
High brightness
User friendly
Good speed
Notification is stylish and very useful
Good in look when screen off😬
Battery life is good
Water resistance works well
Screen quality is very good.. even i thought its gorilla glass
You can add any photo as wallpaper
CONS:
Screen size is disappointing
App is very bad..new update is not working well..please make better app developers. When changing to external wallpaper, time and date become little...",
91,5,"Wooww🖤Grt watch
awesome 💌💌
🖤I loved it super fabulous🖤
Best of the brand like boat 💯",
92,4,"Ya its a cool watch and I liked the built quality , and water resistant , itts looking cool and its working accurate ly .
Cons....
1. App clearance
2. Notification vibration. Exapt this all are nice features in this watch",
93,5,"Boat smart watch nice and decent product in this price range. The functionality is amazing and display quality is also good, the battery life is not so good compare to other smart watches this is the main drawback, the battery life comes for 5-6 days for 1 full charge. Belt quality good and smooth. ❤️ Rate sensor gives nearly accurate BPM and other good thing is oxygen sensor is good but I don't know how much accurate this, BP monitoring also there quite a good feature, music control is good...",
94,4,"Good watch...👍
Use after 10 day .and one time charge. Battery backup so nice upto 9-10 day...my boat watch received 10 days..after
Use boat strom watch quality GOOD nice and metal body casing so good wach belt quality.cloued based watch 38 face.and later OTA UPDATE. version 7 update but boat storm v7 personalize face watch not avaliable in pro gear app
Please. So next update add features in pro gear and all of good nice watch in price range",
95,5,Watch is amazing. Looks so good & battery is good last for 4 to 5 days. Great deal..Thank you Flipkart💖😊👏,
96,4,"Writing this review after 4 days

Display is very nice
Battery backup is very good
After app update more watch faces are available
Notification vibration are in it
Design is very stylish
Scroling smoothness also nice
accuracy is good
Apps notification are good
At this price the boat storm smart watch is very nice",
97,4,"It was a Xmas gift for my fiance. And she loved it. Good Battery Back Up, premium rich feel, activities and features. 5 star product.... Boat Rocks!!",
98,5,"Design and aesthetic : The storm looks like a premium watch and also the black aesthetic goes well with formal or casual dresses (Traditional/Ethnic dresses are a bit of hit or miss)

Build and Durability : The body feels rigid and durable but still it would hurt to add on a screen protector to prevent any scratches on the glass

Functionality : Simple UI and simple controls but does the job pretty well. Measures SpO2, Heart Rate, Blood pressure in addition to the usual steps and distance cal...",
99,5,"Delivery was super fast
(Ordered yesterday got it today by 12:30pm)
Now about the watch it is all comfortable with the strap and dont expect any big boxes to shoot some unboxing videos box contains charging cable some papers about watch and boAt watch has many features today is the first day of my usage I'll update it in 1 week I'm still confused how to change dials.
If someone can help me with the dial faces pls respond.

Edit:- Face dials are gonna be available once the update is there (o...",
100,3,Very nice product this watch is amazing I'm very happy to buy this smart watch,
101,5,"If there was an award for the worst smartwatch in the market, this wouldn't have won it, because this dumb thing is not qualified to be called a smartwatch. The BoatPro app is the worst thing I have seen in a long time (the ratings on PlayStore say it all). It looks like an internship project where the intern just left halfway. The watch and the app won't sync, huge battery drain, randomly resets the progress, won't save the data, no notification alert, and the list goes on.

ALWAYS BUY A SMA...",
102,3,"Go for it.
I don't believe in any reviews untill I use it any gadgets.
You can consider accuracy level in btw 85 to 95 perc.

My positive Result of Day 1 uses.

SLEEP MODE. GOOD
BLOOD PRESSURE. NORMAL

DIAL INTERFACE. EVERY TIME YOU NEED TO EITHER DOWNLOAD A PHOTO OR SELECT FROM YOUR OWN PHONE GALLARY .

MUSIC CONTROL CONTROL YOUR DEFAULT MUSIC PLAYER, VOL UP AND DOWN . AND PAUSE AND PLAY.

Incorrect accuracy in waking activitie - automatically update walki...",
103,5,"After use for one month I write this review, battery backup is gud, I have made update and custom wallpaper is superb, call notification is superb, msgs receive properly, but blue strap is not Luking cool as black one .....other features are gud and works well......one thing more Alwyz on display feature is needed but not available in storm",
104,4,Excellent product very nice watch better than realme and huami . Activity tracker is very nice give an good idea of activity. It have music control too. Worth of money. Recommended product 😍😍👌👌👍❤❤,
105,5,"It was a great smart watch, with amazing activity trackers,and I like the sleep calculator",
106,4,"In terms of looks it is pretty neat in this price range and features as well for different modes like walk, Run, Yoga etc.
The app interface is straight to point.
I primarily use it for calories counter and sleep tracker.
It also has BP and Oxegen monitor as well which can be handily not for accurate use.

For 2.5k it is ok but don't spend much on these watches if you are looking for some serious lifestyle. Just use it for casual fitness tracker for basics.

Overall its a good device in this ...",
107,4,Best smart watch battery excellent very comfortable I using last @ 45 days after only I post this review I buy 2 for me and my wife it's looking very smart and cute ... I recommend for all its budget smartwatch worth of money ....,
108,5,"Been using this Watch since it's launch. 30th Oct 2020. The product seems good initially, but fails to impress after long time use.

Pros:
1. The watch is lightweight & has slightly premium look.
2. The battery life is good, It lasts more than a week if you don't record any activity & a week if any activities are recorded. (Auto heart rate monitor on & with wake up gesture on)
3. The apps gives good amount of the info about the daily exercise, sleep, and heart rate.
4. The OS is simple.

Con...",
109,5,Its been 1 week using it it works greal i loved it all the sensor works perfect spo2 and bp monitor is best the desing the quality i loved it . Loved the custom face option,
110,5,"Writing this review after 2 weeks.
PROS:-less weight
High brightness
User friendly
Good speed
Notification is stylish and very useful
Good in look when screen off😬
Battery life is good
Water resistance works well
Screen quality is very good.. even i thought its gorilla glass
You can add any photo as wallpaper
CONS:
Screen size is disappointing
App is very bad..new update is not working well..please make better app developers. When changing to external wallpaper, time and date become little...",
111,4,"Wooww🖤Grt watch
awesome 💌💌
🖤I loved it super fabulous🖤
Best of the brand like boat 💯",
112,5,"Ya its a cool watch and I liked the built quality , and water resistant , itts looking cool and its working accurate ly .
Cons....
1. App clearance
2. Notification vibration. Exapt this all are nice features in this watch",
113,4,"Boat smart watch nice and decent product in this price range. The functionality is amazing and display quality is also good, the battery life is not so good compare to other smart watches this is the main drawback, the battery life comes for 5-6 days for 1 full charge. Belt quality good and smooth. ❤️ Rate sensor gives nearly accurate BPM and other good thing is oxygen sensor is good but I don't know how much accurate this, BP monitoring also there quite a good feature, music control is good...",
